trp_multiplayer_profile_troop_male|Profil multijoueur homme
trp_rhodok_n_extra1_pl|Hommes de clan rebelles Rhodoks
trp_rhodok_n_extra2|Homme de clan aventureux Rhodok
trp_rhodok_n_extra2_pl|Hommes de clan aventureux Rhodoks
trp_rhodok_n_extra3|Homme de clan forcé Rhodok
trp_rhodok_n_extra3_pl|Hommes de clan forcés Rhodoks
trp_rhodok_n_extra4|Homme de clan voyageur Rhodok
trp_rhodok_n_extra4_pl|Hommes de clan voyageurs Rhodoks
trp_rhodok_n_extra5|Homme de clan docile Rhodok
trp_rhodok_n_extra5_pl|Hommes de clan dociles Rhodoks
trp_rhodok_r_cittadino|I1 Cittadino Rhodok
trp_rhodok_r_cittadino_pl|I1 Cittadini Rhodoks
trp_rhodok_r_novizio|I2 Novizio Rhodok
trp_rhodok_r_novizio_pl|I2 Novizi Rhodoks
trp_rhodok_r_recluta|I2 Recluta Rhodok
trp_rhodok_r_recluta_pl|I2 Reclute Rhodoks
trp_rhodok_r_lanciere_a_cavallo|C3 Lanciere a Cavallo Rhodok
trp_rhodok_r_lanciere_a_cavallo_pl|C3 Lancieri a Cavalli Rhodoks
trp_rhodok_r_recluta_balestriere|A3 Recluta Balestriere Rhodok
trp_rhodok_r_recluta_balestriere_pl|A3 Reclute Balestrieri Rhodoks
trp_rhodok_r_lanciere|I3 Lanciere Rhodok
trp_rhodok_r_lanciere_pl|I3 Lancieri Rhodoks
trp_rhodok_r_lanza_spezzata|C4 Lanza Spezzata Rhodok
trp_rhodok_r_lanza_spezzata_pl|C4 Lanze Spezzati Rhodoks
trp_rhodok_r_balestriere|A4 Balestriere Rhodok
trp_rhodok_r_balestriere_pl|A4 Balestrieri Rhodoks
trp_rhodok_r_balestriere_leggero|A4 Balestriere Leggero Rhodok
trp_rhodok_r_balestriere_leggero_pl|A4 Balestrieri Leggeri Rhodoks
trp_rhodok_r_lanciere_veterano|I4 Lanciere Veterano Rhodok
trp_rhodok_r_lanciere_veterano_pl|I4 Lancieri Veterani Rhodoks
trp_rhodok_r_fante|I4 Fante Rhodok
trp_rhodok_r_fante_pl|I4 Fanti Rhodoks
trp_rhodok_r_balestriere_veterano|A5 Balestriere Veterano Rhodok
trp_rhodok_r_balestriere_veterano_pl|A5 Balestrieri Veterani Rhodoks
trp_rhodok_r_balestriere_d_assedio|A5 Balestriere d'Assedio Rhodok
trp_rhodok_r_balestriere_d_assedio_pl|A5 Balestrieri d'Assedi Rhodoks
trp_rhodok_r_picchiere_veterano|I5 Picchiere Veterano Rhodok
trp_rhodok_r_picchiere_veterano_pl|I5 Picchieri Veterani Rhodoks
trp_rhodok_r_capitano_d_assedio|A6 Capitano d'Assedio Rhodok
trp_rhodok_r_capitano_d_assedio_pl|A6 Capitani d'Assedi Rhodoks
trp_rhodok_r_extra1|I1 Cittadino rebelle Rhodok
trp_rhodok_r_extra1_pl|I1 Cittadini rebelles Rhodoks
trp_rhodok_r_extra2|I1 Cittadino aventureux Rhodok
trp_rhodok_r_extra2_pl|I1 Cittadini aventureux Rhodoks
trp_rhodok_r_extra3|I1 Cittadino forcé Rhodok
trp_rhodok_r_extra3_pl|I1 Cittadini forcés Rhodoks
trp_rhodok_r_extra4|I1 Cittadino voyageur Rhodok
trp_rhodok_r_extra4_pl|I1 Cittadini voyageurs Rhodoks
trp_rhodok_r_extra5|I1 Cittadino docile Rhodok
trp_rhodok_r_extra5_pl|I1 Cittadini dociles Rhodoks
trp_rhodok_e_extra1|I1 Cittadino rebelle Rhodok
trp_rhodok_e_extra1_pl|I1 Cittadini rebelles Rhodoks
trp_rhodok_e_extra2|I1 Cittadino aventureux Rhodok
trp_rhodok_e_extra2_pl|I1 Cittadini aventureux Rhodoks
trp_rhodok_e_extra3|I1 Cittadino forcé Rhodok
trp_rhodok_e_extra3_pl|I1 Cittadini forcés Rhodoks
trp_rhodok_e_extra4|I1 Cittadino voyageur Rhodok
trp_rhodok_e_extra4_pl|I1 Cittadini voyageurs Rhodoks
trp_rhodok_e_extra5|I1 Cittadino docile Rhodok
trp_rhodok_e_extra5_pl|I1 Cittadini dociles Rhodoks
trp_rhodok_messenger|Messager Rhodok
trp_rhodok_messenger_pl|Messagers Rhodoks
trp_rhodok_deserter|Déserteur Rhodok
trp_rhodok_deserter_pl|Déserteurs Rhodoks
trp_rhodok_prison_guard|Geôlier
trp_rhodok_prison_guard_pl|Geôliers
trp_rhodok_castle_guard|Garde
trp_rhodok_castle_guard_pl|Gardes
trp_sarranid_n_millet|Recrue Sarranide
trp_sarranid_n_millet_pl|Recrues Sarranides
trp_sarranid_n_ajam|Fantassin Sarranide
trp_sarranid_n_ajam_pl|Fantassins Sarranides
trp_sarranid_n_cemaat|Fantassin vétéran Sarranide
trp_sarranid_n_cemaat_pl|Fantassins vétérans Sarranides
trp_sarranid_n_jebelus|Tirailleur Sarranide
trp_sarranid_n_jebelus_pl|Tirailleurs Sarranides
trp_sarranid_n_yerliyya|Infanterie Sarranide
trp_sarranid_n_yerliyya_pl|Infanterie Sarranide
trp_sarranid_n_timariot|Cavalier Sarranide
trp_sarranid_n_timariot_pl|Cavaliers Sarranides
trp_sarranid_n_garip|Archer Sarranide
trp_sarranid_n_garip_pl|Archers Sarranides
trp_sarranid_n_yeniceri|Garde Sarranide
trp_sarranid_n_yeniceri_pl|Gardes Sarranides
trp_sarranid_n_kapikula|Mamelouk Sarranide
trp_sarranid_n_kapikula_pl|Mamelouks Sarranides
trp_sarranid_n_uluteci|Maître Archer Sarranide
trp_sarranid_n_uluteci_pl|Maîtres Archers Sarranides
trp_sarranid_n_extra1|Recrue rebelle Sarranide
trp_sarranid_n_extra1_pl|Recrues rebelles Sarranides
trp_sarranid_n_extra2|Recrue aventureuse Sarranide
trp_sarranid_n_extra2_pl|Recrues aventureuses Sarranides
trp_sarranid_n_extra3|Recrue forcée Sarranide
trp_sarranid_n_extra3_pl|Recrues forcées Sarranides
trp_sarranid_n_extra4|Recrue voyageur Sarranide
trp_sarranid_n_extra4_pl|Recrues voyageurs Sarranides
trp_sarranid_n_extra5|Recrue docile Sarranide
trp_sarranid_n_extra5_pl|Recrues dociles Sarranides
trp_sarranid_r_millet|I1 Millet Sarranide
trp_sarranid_r_millet_pl|I1 Milletani Sarranides
trp_sarranid_r_ajam|I2 Ajam Sarranide
trp_sarranid_r_ajam_pl|I2 Ajami Sarranides
trp_sarranid_r_oglan|A2 Oglan Sarranide
trp_sarranid_r_oglan_pl|A2 Oglani Sarranides
trp_sarranid_r_azab|I3 Azab Sarranide
trp_sarranid_r_azab_pl|I3 Azablar Sarranides
trp_sarranid_r_cemaat|I3 Cemaat Sarranide
trp_sarranid_r_cemaat_pl|I3 Cemaatle Sarranides
trp_sarranid_r_jebelus|A3 Jebelus Sarranide
trp_sarranid_r_jebelus_pl|A3 Jebeli Sarranides
trp_sarranid_r_kapikulu_savari|C4 Kapikulu Savari Sarranide
trp_sarranid_r_kapikulu_savari_pl|C4 Kapikulu Savarleri Sarranides
trp_sarranid_r_timariot|C4 Timariot Sarranide
trp_sarranid_r_timariot_pl|C4 Timarioter Sarranides
trp_sarranid_r_al_haqa|I4 Al-Haqa Sarranide
trp_sarranid_r_al_haqa_pl|I4 Al-Haqani Sarranides
trp_sarranid_r_garip|A4 Garip Sarranide
trp_sarranid_r_garip_pl|A4 Garipler Sarranides
trp_sarranid_r_badw|H4 Badw Sarranide
trp_sarranid_r_badw_pl|H4 Badawi Sarranides
trp_sarranid_r_kapikula|C5 Kapikula Sarranide
trp_sarranid_r_kapikula_pl|C5 Kapikulani Sarranides
trp_sarranid_r_yerliyya|I5 Yerliyya Sarranide
trp_sarranid_r_yerliyya_pl|I5 Yerliyyas Sarranides
trp_sarranid_r_uluteci|A5 Uluteci Sarranide
trp_sarranid_r_uluteci_pl|A5 Uluteciler Sarranides
trp_sarranid_r_yeniceri|I6 Yeniceri Sarranide
trp_sarranid_r_yeniceri_pl|I6 Yeniceriler Sarranides
trp_sarranid_r_extra1|I1 Millet rebelle Sarranide
trp_sarranid_r_extra1_pl|I1 Milletani rebelles Sarranides
trp_sarranid_r_extra2|I1 Millet aventureux Sarranide
trp_sarranid_r_extra2_pl|I1 Milletani aventureux Sarranides
trp_sarranid_r_extra3|I1 Millet forcé Sarranide
trp_sarranid_r_extra3_pl|I1 Milletani forcés Sarranides
trp_sarranid_r_extra4|I1 Millet voyageur Sarranide
trp_sarranid_r_extra4_pl|I1 Milletani voyageurs Sarranides
trp_sarranid_r_extra5|I1 Millet docile Sarranide
trp_sarranid_r_extra5_pl|I1 Milletani dociles Sarranides
trp_sarranid_e_extra1|I1 Millet rebelle Sarranide
trp_sarranid_e_extra1_pl|I1 Milletani rebelles Sarranides
trp_sarranid_e_extra2|I1 Millet aventureux Sarranide
trp_sarranid_e_extra2_pl|I1 Milletani aventureux Sarranides
trp_sarranid_e_extra3|I1 Millet forcé Sarranide
trp_sarranid_e_extra3_pl|I1 Milletani forcés Sarranides
trp_sarranid_e_extra4|I1 Millet voyageur Sarranide
trp_sarranid_e_extra4_pl|I1 Milletani voyageurs Sarranides
trp_sarranid_e_extra5|I1 Millet docile Sarranide
trp_sarranid_e_extra5_pl|I1 Milletani dociles Sarranides
trp_sarranid_messenger|Messager Sarranide
trp_sarranid_messenger_pl|Messagers Sarranides
trp_sarranid_deserter|Déserteur Sarranide
trp_sarranid_deserter_pl|Déserteurs Sarranides
trp_sarranid_prison_guard|Geôlier
trp_sarranid_prison_guard_pl|Geôliers
trp_sarranid_castle_guard|Garde
trp_sarranid_castle_guard_pl|Garde
trp_custom_n_recruit|Recrue Freelance
trp_custom_n_recruit_pl|Recrues Freelance
trp_custom_n_recruit_equip|Recrue Freelance
trp_custom_n_recruit_equip_pl|Recrues Freelance
trp_custom_n_recruit_selection|Recrue Freelance
trp_custom_n_recruit_selection_pl|Recrues Freelance
trp_custom_n_militia|Milicien Freelance
trp_custom_n_militia_pl|Miliciens Freelance
trp_custom_n_militia_equip|Milicien Freelance
trp_custom_n_militia_equip_pl|Miliciens Freelance
trp_custom_n_militia_selection|Milicien Freelance
trp_custom_n_militia_selection_pl|Miliciens Freelance
trp_custom_n_page|Fantassin Freelance
trp_custom_n_page_pl|Fantassins Freelance
trp_custom_n_page_equip|Fantassin Freelance
trp_custom_n_page_equip_pl|Fantassins Freelance
trp_custom_n_page_selection|Fantassin Freelance
trp_custom_n_page_selection_pl|Fantassins Freelance
trp_custom_n_guard|Garde Freelance
trp_custom_n_guard_pl|Gardes Freelance
trp_custom_n_guard_equip|Garde Freelance
trp_custom_n_guard_equip_pl|Gardes Freelance
trp_custom_n_guard_selection|Garde Freelance
trp_custom_n_guard_selection_pl|Gardes Freelance
trp_custom_n_squire|Écuyer Freelance
trp_custom_n_squire_pl|Écuyers Freelance
trp_custom_n_squire_equip|Écuyer Freelance
trp_custom_n_squire_equip_pl|Écuyers Freelance
trp_custom_n_squire_selection|Écuyer Freelance
trp_custom_n_squire_selection_pl|Écuyers Freelance
trp_custom_n_swordman|Épéiste Freelance
trp_custom_n_swordman_pl|Épéistes Freelance
trp_custom_n_swordman_equip|Épéiste Freelance
trp_custom_n_swordman_equip_pl|Épéistes Freelance
trp_custom_n_swordman_selection|Épéiste Freelance
trp_custom_n_swordman_selection_pl|Épéistes Freelance
trp_custom_n_archer|Archer Freelance
trp_custom_n_archer_pl|Archers Freelance
trp_custom_n_archer_equip|Archer Freelance
trp_custom_n_archer_equip_pl|Archers Freelance
trp_custom_n_archer_selection|Archer Freelance
trp_custom_n_archer_selection_pl|Archers Freelance
trp_custom_n_knight|Chevalier Freelance
trp_custom_n_knight_pl|Chevaliers Freelance
trp_custom_n_knight_equip|Chevalier Freelance
trp_custom_n_knight_equip_pl|Chevaliers Freelance
trp_custom_n_knight_selection|Chevalier Freelance
trp_custom_n_knight_selection_pl|Chevaliers Freelance
trp_custom_n_swordmaster|Maître d'épée Freelance
trp_custom_n_swordmaster_pl|Maîtres d'épée Freelance
trp_custom_n_swordmaster_equip|Maître d'épée Freelance
trp_custom_n_swordmaster_equip_pl|Maîtres d'épée Freelance
trp_custom_n_swordmaster_selection|Maître d'épée Freelance
trp_custom_n_swordmaster_selection_pl|Maîtres d'épée Freelance
trp_custom_n_expert_archer|Tireur d'élite Freelance
trp_custom_n_expert_archer_pl|Tireurs d'élite Freelance
trp_custom_n_expert_archer_equip|Tireur d'élite Freelance
trp_custom_n_expert_archer_equip_pl|Tireurs d'élite Freelance
trp_custom_n_expert_archer_selection|Tireur d'élite Freelance
trp_custom_n_expert_archer_selection_pl|Tireurs d'élite Freelance
trp_custom_r_recruit|I1 Recrue Freelance
trp_custom_r_recruit_pl|I1 Recrues Freelance
trp_custom_r_recruit_equip|I1 Recrue Freelance
trp_custom_r_recruit_equip_pl|I1 Recrues Freelance
trp_custom_r_recruit_selection|I1 Recrue Freelance
trp_custom_r_recruit_selection_pl|I1 Recrues Freelance
trp_custom_r_militia|I2 Milicien Freelance
trp_custom_r_militia_pl|I2 Miliciens Freelance
trp_custom_r_militia_equip|I2 Milicien Freelance
trp_custom_r_militia_equip_pl|I2 Miliciens Freelance
trp_custom_r_militia_selection|I2 Milicien Freelance
trp_custom_r_militia_selection_pl|I2 Miliciens Freelance
trp_custom_r_hunter|A2 Chasseur Freelance
trp_custom_r_hunter_pl|A2 Chasseurs Freelance
trp_custom_r_hunter_equip|A2 Chasseur Freelance
trp_custom_r_hunter_equip_pl|A2 Chasseurs Freelance
trp_custom_r_hunter_selection|A2 Chasseur Freelance
trp_custom_r_hunter_selection_pl|A2 Chasseurs Freelance
trp_custom_r_guard|I3 Garde Freelance
trp_custom_r_guard_pl|I3 Gardes Freelance
trp_custom_r_guard_equip|I3 Garde Freelance
trp_custom_r_guard_equip_pl|I3 Gardes Freelance
trp_custom_r_guard_selection|I3 Garde Freelance
trp_custom_r_guard_selection_pl|I3 Gardes Freelance
trp_custom_r_page|C3 Fantassin Freelance
trp_custom_r_page_pl|C3 Fantassins Freelance
trp_custom_r_page_equip|C3 Fantassin Freelance
trp_custom_r_page_equip_pl|C3 Fantassins Freelance
trp_custom_r_page_selection|C3 Fantassin Freelance
trp_custom_r_page_selection_pl|C3 Fantassins Freelance
trp_custom_r_woodsman|A3 Archer Freelance
trp_custom_r_woodsman_pl|A3 Archers Freelance
trp_custom_r_woodsman_equip|A3 Archer Freelance
trp_custom_r_woodsman_equip_pl|A3 Archers Freelance
trp_custom_r_woodsman_selection|A3 Archer Freelance
trp_custom_r_woodsman_selection_pl|A3 Archers Freelance
trp_custom_r_spearman|I4 Lancier Freelance
trp_custom_r_spearman_pl|I4 Lanciers Freelance
trp_custom_r_spearman_equip|I4 Lancier Freelance
trp_custom_r_spearman_equip_pl|I4 Lanciers Freelance
trp_custom_r_spearman_selection|I4 Lancier Freelance
trp_custom_r_spearman_selection_pl|I4 Lanciers Freelance
trp_custom_r_swordman|I4 Épéiste Freelance
trp_custom_r_swordman_pl|I4 Épéistes Freelance
trp_custom_r_swordman_equip|I4 Épéiste Freelance
trp_custom_r_swordman_equip_pl|I4 Épéistes Freelance
trp_custom_r_swordman_selection|I4 Épéiste Freelance
trp_custom_r_swordman_selection_pl|I4 Épéistes Freelance
trp_custom_r_squire|C4 Écuyer Freelance
trp_custom_r_squire_pl|C4 Écuyers Freelance
trp_custom_r_squire_equip|C4 Écuyer Freelance
trp_custom_r_squire_equip_pl|C4 Écuyers Freelance
trp_custom_r_squire_selection|C4 Écuyer Freelance
trp_custom_r_squire_selection_pl|C4 Écuyers Freelance
trp_custom_r_archer|A4 Archer qualifié Freelance
trp_custom_r_archer_pl|A4 Archers qualifiés Freelance
trp_custom_r_archer_equip|A4 Archer qualifié Freelance
trp_custom_r_archer_equip_pl|A4 Archers qualifiés Freelance
trp_custom_r_archer_selection|A4 Archer qualifié Freelance
trp_custom_r_archer_selection_pl|A4 Archers qualifiés Freelance
trp_custom_r_skirmisher|A4 Tirailleur Freelance
trp_custom_r_skirmisher_pl|A4 Tirailleurs Freelance
trp_custom_r_skirmisher_equip|A4 Tirailleur Freelance
trp_custom_r_skirmisher_equip_pl|A4 Tirailleurs Freelance
trp_custom_r_skirmisher_selection|A4 Tirailleur Freelance
trp_custom_r_skirmisher_selection_pl|A4 Tirailleurs Freelance
trp_custom_r_swordmaster|I5 Maître d'armes Freelance
trp_custom_r_swordmaster_pl|I5 Maîtres d'armes Freelance
trp_custom_r_swordmaster_equip|I5 Maître d'armes Freelance
trp_custom_r_swordmaster_equip_pl|I5 Maîtres d'armes Freelance
trp_custom_r_swordmaster_selection|I5 Maître d'armes Freelance
trp_custom_r_swordmaster_selection_pl|I5 Maîtres d'armes Freelance
trp_custom_r_knight|C5 Chevalier Freelance
trp_custom_r_knight_pl|C5 Chevaliers Freelance
trp_custom_r_knight_equip|C5 Chevalier Freelance
trp_custom_r_knight_equip_pl|C5 Chevaliers Freelance
trp_custom_r_knight_selection|C5 Chevalier Freelance
trp_custom_r_knight_selection_pl|C5 Chevaliers Freelance
trp_custom_r_expert_archer|A5 Archer d'élite Freelance
trp_custom_r_expert_archer_pl|A5 Archers d'élite Freelance
trp_custom_r_expert_archer_equip|A5 Archer d'élite Freelance
trp_custom_r_expert_archer_equip_pl|A5 Archers d'élite Freelance
trp_custom_r_expert_archer_selection|A5 Archer d'élite Freelance
trp_custom_r_expert_archer_selection_pl|A5 Archers d'élite Freelance
trp_custom_r_frontline_skirmisher|A5 Tirailleur d'élite Freelance
trp_custom_r_frontline_skirmisher_pl|A5 Tirailleurs d'élite Freelance
trp_custom_r_frontline_skirmisher_equip|A5 Tirailleur d'élite Freelance
trp_custom_r_frontline_skirmisher_equip_pl|A5 Tirailleurs d'élite Freelance
trp_custom_r_frontline_skirmisher_selection|A5 Tirailleur d'élite Freelance
trp_custom_r_frontline_skirmisher_selection_pl|A5 Tirailleurs d'élite Freelance
trp_custom_master|Sigmund
trp_custom_master_pl|Sigmund
trp_custom_messenger|Messager
trp_custom_messenger_pl|Messagers
trp_custom_deserter|Deserteur
trp_custom_deserter_pl|Deserteurs
trp_custom_prison_guard|Gardien de prison
trp_custom_prison_guard_pl|Gardiens de prison
trp_custom_castle_guard|Sentinelle
trp_custom_castle_guard_pl|Sentinelles
trp_bandit_n_looter|Pillard
trp_bandit_n_looter_pl|Pillards
trp_bandit_n_bandit|Bandit
trp_bandit_n_bandit_pl|Bandits
trp_bandit_n_brigand|Brigand
trp_bandit_n_brigand_pl|Brigands
trp_bandit_n_mountain|Bandit des montagnes
trp_bandit_n_mountain_pl|Bandits des montagnes
trp_bandit_n_forest|Bandit des forêts
trp_bandit_n_forest_pl|Bandits des forêts
trp_bandit_n_sea_raider|Bandit des côtes
trp_bandit_n_sea_raider_pl|Bandits des côtes
trp_bandit_n_steppe|Bandit des steppes
trp_bandit_n_steppe_pl|Bandits des steppes
trp_bandit_n_taiga|Bandit de la toundra
trp_bandit_n_taiga_pl|Bandits de la toundra
trp_bandit_n_desert|Bandit du désert
trp_bandit_n_desert_pl|Bandits du désert
trp_bandit_n_black_khergit_horseman|Cavalier noir Khergit
trp_bandit_n_black_khergit_horseman_pl|Cavaliers noirs Khergits
trp_bandit_n_manhunter|Chasseur de primes
trp_bandit_n_manhunter_pl|Chasseurs de primes
trp_bandit_n_slave_driver|Meneur d'esclaves
trp_bandit_n_slave_driver_pl|Meneurs d'esclaves
trp_bandit_n_slave_hunter|Chasseur d'esclaves
trp_bandit_n_slave_hunter_pl|Chasseurs d'esclaves
trp_bandit_n_slave_crusher|Tyran d'esclaves
trp_bandit_n_slave_crusher_pl|Tyran d'esclaves
trp_bandit_n_slaver_chief|Esclavagiste en chef
trp_bandit_n_slaver_chief_pl|Esclavagistes en chef
trp_bandit_r_looter|Pillard
trp_bandit_r_looter_pl|Pillards
trp_bandit_r_bandit|Bandit
trp_bandit_r_bandit_pl|Bandits
trp_bandit_r_brigand|Brigand
trp_bandit_r_brigand_pl|Brigands
trp_bandit_r_mountain|Bandit des montagnes
trp_bandit_r_mountain_pl|Bandits des montagnes
trp_bandit_r_forest|Bandit des forêts
trp_bandit_r_forest_pl|Bandits des forêts
trp_bandit_r_sea_raider|Bandit des côtes
trp_bandit_r_sea_raider_pl|Bandits des côtes
trp_bandit_r_steppe|Bandit des steppes
trp_bandit_r_steppe_pl|Bandits des steppes
trp_bandit_r_taiga|Bandit de la toundra
trp_bandit_r_taiga_pl|Bandits de la toundra
trp_bandit_r_desert|Bandit du désert
trp_bandit_r_desert_pl|Bandits du désert
trp_bandit_r_black_khergit_horseman|Cavalier noir Khergit
trp_bandit_r_black_khergit_horseman_pl|Cavaliers noirs Khergits
trp_bandit_r_manhunter|Chasseur de primes
trp_bandit_r_manhunter_pl|Chasseurs de primes
trp_bandit_r_slave_driver|Meneur d'esclaves
trp_bandit_r_slave_driver_pl|Meneurs d'esclaves
trp_bandit_r_slave_hunter|Chasseur d'esclaves
trp_bandit_r_slave_hunter_pl|Chasseurs d'esclaves
trp_bandit_r_slave_crusher|Tyran d'esclaves
trp_bandit_r_slave_crusher_pl|Tyran d'esclaves
trp_bandit_r_slaver_chief|Esclavagiste en chef
trp_bandit_r_slaver_chief_pl|Esclavagistes en chef
trp_bandit_e_looter|Pillard
trp_bandit_e_looter_pl|Pillards
trp_bandit_e_bandit|Bandit
trp_bandit_e_bandit_pl|Bandits
trp_bandit_e_brigand|Brigand
trp_bandit_e_brigand_pl|Brigands
trp_bandit_e_mountain|Bandit des montagnes
trp_bandit_e_mountain_pl|Bandits des montagnes
trp_bandit_e_forest|Bandit des forêts
trp_bandit_e_forest_pl|Bandits des forêts
trp_bandit_e_sea_raider|Bandit des côtes
trp_bandit_e_sea_raider_pl|Bandits des côtes
trp_bandit_e_steppe|Bandit des steppes
trp_bandit_e_steppe_pl|Bandits des steppes
trp_bandit_e_taiga|Bandit de la toundra
trp_bandit_e_taiga_pl|Bandits de la toundra
trp_bandit_e_desert|Bandit du désert
trp_bandit_e_desert_pl|Bandits du désert
trp_bandit_e_black_khergit_horseman|Cavalier noir Khergit
trp_bandit_e_black_khergit_horseman_pl|Cavaliers noirs Khergits
trp_bandit_e_manhunter|Chasseur de primes
trp_bandit_e_manhunter_pl|Chasseurs de primes
trp_bandit_e_slave_driver|Meneur d'esclaves
trp_bandit_e_slave_driver_pl|Meneurs d'esclaves
trp_bandit_e_slave_hunter|Chasseur d'esclaves
trp_bandit_e_slave_hunter_pl|Chasseurs d'esclaves
trp_bandit_e_slave_crusher|Tyran d'esclaves
trp_bandit_e_slave_crusher_pl|Tyran d'esclaves
trp_bandit_e_slaver_chief|Esclavagiste en chef
trp_bandit_e_slaver_chief_pl|Esclavagistes en chef
trp_woman_n_refugee|Réfugiée
trp_woman_n_refugee_pl|Réfugiées
trp_woman_n_peasant|Paysanne
trp_woman_n_peasant_pl|Paysannes
trp_woman_n_camp_follower|Suiveuse
trp_woman_n_camp_follower_pl|Suiveuses
trp_woman_n_huntress|Chasseresse
trp_woman_n_huntress_pl|Chasseresses
trp_woman_n_maiden|Séraphine
trp_woman_n_maiden_pl|Séraphines
trp_woman_n_swob_ridder|Soeur d'arme
trp_woman_n_swob_ridder_pl|Soeurs d'arme
trp_woman_n_extra1|Réfugiée perdue
trp_woman_n_extra1_pl|Réfugiées perdues
trp_woman_n_extra2|Réfugiée fatiguée
trp_woman_n_extra2_pl|Réfugiées fatiguées
trp_woman_n_extra3|Réfugiée sale
trp_woman_n_extra3_pl|Réfugiées sales
trp_woman_n_extra4|Réfugiée veuve
trp_woman_n_extra4_pl|Réfugiées veuves
trp_woman_n_extra5|Réfugiée ambitieuse
trp_woman_n_extra5_pl|Réfugiées ambitieuses
trp_woman_r_refugee|I1 Refugiée
trp_woman_r_refugee_pl|I1 Refugiées
trp_woman_r_peasant|I1 Paysante
trp_woman_r_peasant_pl|I1 Paysantes
trp_woman_r_militia|I2 Milicienne
trp_woman_r_militia_pl|I2 Miliciennes
trp_woman_r_camp_follower|A2 Suiveuse
trp_woman_r_camp_follower_pl|A2 Suiveuses
trp_woman_r_dressed_up|I2 Soeur d'armes
trp_woman_r_dressed_up_pl|I2 Soeurs d'armes
trp_woman_r_warrior|I3 Guerrière
trp_woman_r_warrior_pl|I3 Guerrières
trp_woman_r_huntress|A3 Chasseresse
trp_woman_r_huntress_pl|A3 Huntresses
trp_woman_r_stedinger|I3 Stedinger
trp_woman_r_stedinger_pl|I3 Stedinger
trp_woman_r_truus_te_paard|C4 Truus te Paard
trp_woman_r_truus_te_paard_pl|C4 Truzen te Paard
trp_woman_r_markswoman|A4 Markswoman
trp_woman_r_markswoman_pl|A4 Markswomen
trp_woman_r_mounted_markswoman|H4 Markswoman montée
trp_woman_r_mounted_markswoman_pl|H4 Markswomen montées
trp_woman_r_kriegerin|I4 Kriegerin
trp_woman_r_kriegerin_pl|I4 Kriegeriner
trp_woman_r_swob_ridder|C5 Swob Ridder
trp_woman_r_swob_ridder_pl|C5 Swob Ridders
trp_woman_r_virago|A5 Virago
trp_woman_r_virago_pl|A5 Viragi
trp_woman_r_amazon|H5 Amazone
trp_woman_r_amazon_pl|H5 Amazones
trp_woman_r_schildmaid|I5 Schildmaid
trp_woman_r_schildmaid_pl|I5 Schildmaide
trp_woman_r_extra1|Réfugiée perdue
trp_woman_r_extra1_pl|Réfugiées perdues
trp_woman_r_extra2|Réfugiée fatiguée
trp_woman_r_extra2_pl|Réfugiées fatiguées
trp_woman_r_extra3|Réfugiée sale
trp_woman_r_extra3_pl|Réfugiées sales
trp_woman_r_extra4|Réfugiée veuve
trp_woman_r_extra4_pl|Réfugiées veuves
trp_woman_r_extra5|Réfugiée ambitieuse
trp_woman_r_extra5_pl|Réfugiées ambitieuses
trp_caravan_master|Maître de caravane
trp_caravan_master_pl|Maîtres de caravane
trp_kidnapped_girl|Fille enlevée
trp_kidnapped_girl_pl|Filles enlevées
trp_swadian_town_walker_m_average|Habitant
trp_swadian_town_walker_m_average_pl|Habitants
trp_swadian_town_walker_f_average|Habitante
trp_swadian_town_walker_f_average_pl|Habitantes
trp_vaegir_town_walker_m_average|Habitant
trp_vaegir_town_walker_m_average_pl|Habitants
trp_vaegir_town_walker_f_average|Habitante
trp_vaegir_town_walker_f_average_pl|Habitantes
trp_khergit_town_walker_m_average|Habitant
trp_khergit_town_walker_m_average_pl|Habitants
trp_khergit_town_walker_f_average|Habitante
trp_khergit_town_walker_f_average_pl|Habitantes
trp_nord_town_walker_m_average|Habitant
trp_nord_town_walker_m_average_pl|Habitants
trp_nord_town_walker_f_average|Habitante
trp_nord_town_walker_f_average_pl|Habitantes
trp_rhodok_town_walker_m_average|Habitant
trp_rhodok_town_walker_m_average_pl|Habitants
trp_rhodok_town_walker_f_average|Habitante
trp_rhodok_town_walker_f_average_pl|Habitantes
trp_sarranid_town_walker_m_average|Habitant
trp_sarranid_town_walker_m_average_pl|Habitants
trp_sarranid_town_walker_f_average|Habitante
trp_sarranid_town_walker_f_average_pl|Habitantes
trp_town_walker_m_average|Habitant
trp_town_walker_m_average_pl|Habitants
trp_town_walker_f_average|Habitante
trp_town_walker_f_average_pl|Habitantes
trp_swadian_village_walker_m_average|Villageois
trp_swadian_village_walker_m_average_pl|Villageois
trp_swadian_village_walker_f_average|Villageoise
trp_swadian_village_walker_f_average_pl|Villageoises
trp_vaegir_village_walker_m_average|Villageois
trp_vaegir_village_walker_m_average_pl|Villageois
trp_vaegir_village_walker_f_average|Villageoise
trp_vaegir_village_walker_f_average_pl|Villageoises
trp_khergit_village_walker_m_average|Villageois
trp_khergit_village_walker_m_average_pl|Villageois
trp_khergit_village_walker_f_average|Villageoise
trp_khergit_village_walker_f_average_pl|Villageoises
trp_nord_village_walker_m_average|Villageois
trp_nord_village_walker_m_average_pl|Villageois
