itm_no_item|OBJET INVALIDE
itm_leather_warrior_cap|Cervelière de cuir
itm_leather_warrior_cap_pl|Cervelières de cuir
itm_skullcap|Cervelière avec arceaux de fer
itm_skullcap_pl|Cervelières avec arceaux de fer
itm_mail_coif|Camail
itm_mail_coif_pl|Camails
itm_footman_helmet|Cervelière avec cale
itm_footman_helmet_pl|Cervelières avec cales
itm_nasal_helmet|Casque à nasal
itm_nasal_helmet_pl|Casque à nasaux
itm_norman_helmet|Casque avec jugulaire
itm_norman_helmet_pl|Casques avec jugulaires
itm_segmented_helmet|Casque riveté
itm_segmented_helmet_pl|Casques rivetés
itm_helmet_with_neckguard|Casque à nuquière
itm_helmet_with_neckguard_pl|Casques à nuquière
itm_flat_topped_helmet|Casque à timbre plat
itm_flat_topped_helmet_pl|Casques à timbres plats
itm_kettle_hat|Chapel de fer
itm_kettle_hat_pl|Chapels de fer
itm_spiked_helmet|Casque à pointe
itm_spiked_helmet_pl|Casques à pointes
itm_nordic_helmet|Casque à lunettes
itm_nordic_helmet_pl|Casques à lunettes
itm_khergit_lady_hat|Coiffe toortsog
itm_khergit_lady_hat_pl|Coiffes toortsog
itm_khergit_lady_hat_b|Coiffe toortsog en cuir
itm_khergit_lady_hat_b_pl|Coiffes toortsog en cuir
itm_sarranid_felt_hat|Chapeau de feutre avec bourrelet
itm_sarranid_felt_hat_pl|Chapeaux de feutre avec bourrelet
itm_turban|Turban
itm_turban_pl|Turbans
itm_desert_turban|Turban du désert
itm_desert_turban_pl|Turbans du désert
itm_sarranid_warrior_cap|Casque-turban
itm_sarranid_warrior_cap_pl|Casque-turbans
itm_sarranid_horseman_helmet|Casque khud
itm_sarranid_horseman_helmet_pl|Casques khud
itm_sarranid_helmet1|Casque-keffieh
itm_sarranid_helmet1_pl|Casques-keffiehs
itm_sarranid_mail_coif|Coiffe mighfar
itm_sarranid_mail_coif_pl|Coiffes mighfar
itm_sarranid_veiled_helmet|Casque à coiffe mighfar
itm_sarranid_veiled_helmet_pl|Casques à coiffes mighfar
itm_nordic_archer_helmet|Cervelière à bandeau
itm_nordic_archer_helmet_pl|Cervelières à bandeaux
itm_nordic_veteran_archer_helmet|Cervelière à bandeau et macles
itm_nordic_veteran_archer_helmet_pl|Cervelières à bandeaux et macles
itm_nordic_footman_helmet|Spangenhelm à macles
itm_nordic_footman_helmet_pl|Spangenhelms à macles
itm_nordic_fighter_helmet|Spangenhelm à nuquière
itm_nordic_fighter_helmet_pl|Spangenhelms à nuquières
itm_nordic_huscarl_helmet|Spangenhelm à lunettes
itm_nordic_huscarl_helmet_pl|Spangenhelms à lunettes
itm_nordic_warlord_helmet|Spangenhelm à lunettes et clinques
itm_nordic_warlord_helmet_pl|Spangenhelms à lunettes et clinques
itm_vaegir_fur_cap|Toque coquée à fourrure
itm_vaegir_fur_cap_pl|Toques coquées à fourrure
itm_vaegir_fur_helmet|Toque coquée à maille
itm_vaegir_fur_helmet_pl|Toques coquées à maille
itm_vaegir_spiked_helmet|Casque varègue à pointe
itm_vaegir_spiked_helmet_pl|Casques varègues à pointes
itm_vaegir_lamellar_helmet|Toque lamellaire
itm_vaegir_lamellar_helmet_pl|Toques lamellaires
itm_vaegir_noble_helmet|Casque varègue
itm_vaegir_noble_helmet_pl|Casques varègues
itm_vaegir_war_helmet|Casque varègue avec coiffe à œillères
itm_vaegir_war_helmet_pl|Casques varègues avec coiffes à œillères
itm_vaegir_mask|Casque kolpak à facial
itm_vaegir_mask_pl|Casques kolpaks à facial
itm_bascinet|Bacinet
itm_bascinet_pl|Bacinets
itm_bascinet_2|Bacinet à gorgière
itm_bascinet_2_pl|Bacinets à gorgières
itm_bascinet_3|Bacinet à gorgière et bretèche
itm_bascinet_3_pl|Bacinets à gorgières et bretèches
itm_guard_helmet|Casque composite à camail
itm_guard_helmet_pl|Casques composites à camail
itm_black_helmet|Barbute noire
itm_black_helmet_pl|Barbutes noires
itm_full_helm|Demi-heaume
itm_full_helm_pl|Demi-heaumes
itm_great_helmet|Grand heaume
itm_great_helmet_pl|Grands heaumes
itm_winged_great_helmet|Grand heaume ornementé
itm_winged_great_helmet_pl|Grands heaumes ornementés
itm_wooden_stick|Bâton en bois
itm_wooden_stick_pl|Bâtons en bois
itm_cudgel|Massue
itm_cudgel_pl|Massues
itm_hammer|Marteau
itm_hammer_pl|Marteaux
itm_club|Gourdin
itm_club_pl|Gourdins
itm_winged_mace|Masse à ailettes
itm_winged_mace_pl|Masses à ailettes
itm_spiked_mace|Masse barbelée
itm_spiked_mace_pl|Masses barbelées
itm_military_hammer|Bec-de-corbin
itm_military_hammer_pl|Bec-de-corbins
itm_maul|Masse
itm_maul_pl|Masses
itm_sledgehammer|Maillet
itm_sledgehammer_pl|Maillets
itm_warhammer|Plommée
itm_warhammer_pl|Plommées
itm_pickaxe|Rivelaine
itm_pickaxe_pl|Rivelaines
itm_spiked_club|Gourdin à pointes
itm_spiked_club_pl|Gourdins à pointes
itm_fighting_pick|Martel de fer
itm_fighting_pick_pl|Martels de fer
itm_military_pick|Marteau d'armes nadziak
itm_military_pick_pl|Marteaux d'armes nadziak
itm_morningstar|Morgenstern
itm_morningstar_pl|Morgensterns
itm_sickle|Faucille
itm_sickle_pl|Faucilles
itm_cleaver|Feuille de boucher
itm_cleaver_pl|Feuilles de boucher
itm_knife|Couteau
itm_knife_pl|Couteaux
itm_butchering_knife|Couteau de boucher
itm_butchering_knife_pl|Couteaux de boucher
itm_dagger|Dague
itm_dagger_pl|Dagues
itm_falchion|Fauchon
itm_falchion_pl|Fauchons
itm_scimitar|Cimeterre
itm_scimitar_pl|Cimeterres
itm_scimitar_b|Sabre seljoukide
itm_scimitar_b_pl|Sabres seljoukides
itm_arabian_sword_a|Épée sayf
itm_arabian_sword_a_pl|Épées sayf
itm_arabian_sword_b|Épée multannad
itm_arabian_sword_b_pl|Épées multannad
itm_sarranid_cavalry_sword|Épée tawashi
itm_sarranid_cavalry_sword_pl|Épées tawashi
itm_arabian_sword_d|Épée de garde
itm_arabian_sword_d_pl|Épées de gardes
itm_great_sword|Claymore
itm_great_sword_pl|Claymores
itm_sword_of_war|Claymore longue
itm_sword_of_war_pl|Claymores longues
itm_hatchet|Hachette
itm_hatchet_pl|Hachettes
itm_hand_axe|Cognée
itm_hand_axe_pl|Cognées
itm_fighting_axe|Hache d'arçon
itm_fighting_axe_pl|Haches d'arçon
itm_axe|Hache à deux mains
itm_axe_pl|Haches à deux mains
itm_voulge|Vouge
itm_voulge_pl|Vouges
itm_battle_axe|Hache valaška traditionnelle
itm_battle_axe_pl|Haches valaška traditionnelles
itm_war_axe|Hache valaška
itm_war_axe_pl|Haches valaška
itm_sword_two_handed_b|Brand d'arçon
itm_sword_two_handed_b_pl|Brands d'arçon
itm_sword_two_handed_a|Estramaçon
itm_sword_two_handed_a_pl|Estramaçons
itm_khergit_sword_two_handed_a|Sabre wodao
itm_khergit_sword_two_handed_a_pl|Sabres wodao
itm_khergit_sword_two_handed_b|Sabre zhanmadao
itm_khergit_sword_two_handed_b_pl|Sabres zhanmadao
itm_two_handed_cleaver|Couperet à deux mains
itm_two_handed_cleaver_pl|Couperets à deux mains
itm_military_cleaver_b|Couperet à crosse
itm_military_cleaver_b_pl|Couperets à crosse
itm_military_cleaver_c|Couperet militaire
itm_military_cleaver_c_pl|Couperets militaires
itm_military_sickle_a|Faucille de guerre
itm_military_sickle_a_pl|Faucilles guerre
itm_bastard_sword_a|Épée bâtarde
itm_bastard_sword_a_pl|Épées bâtardes
itm_bastard_sword_b|Lourde épée bâtarde
itm_bastard_sword_b_pl|Lourdes épées bâtardes
itm_one_handed_war_axe_a|Hache de guerre
itm_one_handed_war_axe_a_pl|Haches de guerre
itm_one_handed_battle_axe_a|Hache de bataille
itm_one_handed_battle_axe_a_pl|Haches de bataille
itm_one_handed_war_axe_b|Hache de guerre à barbelure
itm_one_handed_war_axe_b_pl|Haches de guerre à barbelure
itm_one_handed_battle_axe_b|Hache skeggöx
itm_one_handed_battle_axe_b_pl|Haches skeggöx
itm_one_handed_battle_axe_c|Hache noroise
itm_one_handed_battle_axe_c_pl|Haches noroises
itm_two_handed_axe|Hache franque
itm_two_handed_axe_pl|Haches franques
itm_two_handed_battle_axe_2|Hache franque à barbelure
itm_two_handed_battle_axe_2_pl|Haches franques à barbelure
itm_shortened_voulge|Vouge courte
itm_shortened_voulge_pl|Vouge courtes
itm_great_axe|Hache danoise
itm_great_axe_pl|Haches danoises
itm_long_axe|Hache longue
itm_long_axe_pl|Haches longues
itm_long_axe_alt|Hache longue
itm_long_axe_alt_pl|Haches longues
itm_long_axe_b|Hache longue de guerre
itm_long_axe_b_pl|Haches longues de guerre
itm_long_axe_b_alt|Hache longue de guerre
itm_long_axe_b_alt_pl|Haches longues de guerre
itm_long_axe_c|Grande hache longue
itm_long_axe_c_pl|Grandes haches longues
itm_long_axe_c_alt|Grande hache longue
itm_long_axe_c_alt_pl|Grandes haches longues
itm_bardiche|Hache de sparth
itm_bardiche_pl|Haches de sparth
itm_great_bardiche|Bardiche courte
itm_great_bardiche_pl|Bardiches courtes
itm_long_voulge|Grande Vouge
itm_long_voulge_pl|Grande Vouge
itm_long_bardiche|Grande Hache
itm_long_bardiche_pl|Grande Hache
itm_great_long_bardiche|Grande Bardiche
itm_great_long_bardiche_pl|Grande Bardiche
itm_hafted_blade_b|Hallebarde guandao
itm_hafted_blade_b_pl|Hallebarde guandao
itm_hafted_blade_a|Hallebarde pudao
itm_hafted_blade_a_pl|Hallebarde pudao
itm_shortened_military_scythe|Couteau de brèche démanché
itm_shortened_military_scythe_pl|Couteaux de brèche démanchés
itm_sword_medieval_a|Épée
itm_sword_medieval_a_pl|Épées
itm_sword_medieval_b|Épée
itm_sword_medieval_b_pl|Épées
itm_sword_medieval_b_small|Épée courte
itm_sword_medieval_b_small_pl|Épées courtes
itm_sword_medieval_c|Épée d'armes
itm_sword_medieval_c_pl|Épées d'armes
itm_sword_medieval_c_small|Épée d'armes courte
itm_sword_medieval_c_small_pl|Épées d'armes courtes
itm_sword_medieval_c_long|Épée d'arçon
itm_sword_medieval_c_long_pl|Épées d'arçon
itm_sword_medieval_d_long|Épée d'arçon longue
itm_sword_medieval_d_long_pl|Épées d'arçon longues
itm_sword_viking_1|Épée spatha
itm_sword_viking_1_pl|Épées spatha
itm_sword_viking_2|Épée rhénanienne
itm_sword_viking_2_pl|Épées rhénaniennes
itm_sword_viking_2_small|Épée rhénanienne courte
itm_sword_viking_2_small_pl|Épées rhénaniennes courtes
itm_sword_viking_3|Épée ulfberth
itm_sword_viking_3_pl|Épées ulfberth
itm_sword_viking_3_small|Épée courte ulfberth
itm_sword_viking_3_small_pl|Épées courtes ulfberth
itm_sword_khergit_1|Sabre yanmaodao
itm_sword_khergit_1_pl|Sabres yanmaodao
itm_sword_khergit_2|Sabre mandchou
itm_sword_khergit_2_pl|Sabres mandchou
itm_sword_khergit_3|Sabre magyar
itm_sword_khergit_3_pl|Sabres magyar
itm_sword_khergit_4|Sabre mars-tur
itm_sword_khergit_4_pl|Sabres mars-tur
itm_mace_1|Gourdin clouté
itm_mace_1_pl|Gourdins cloutés
itm_mace_2|Massue à pointes
itm_mace_2_pl|Massues à pointes
itm_mace_3|Massue barbelée
itm_mace_3_pl|Massues barbelées
itm_mace_4|Massue à ailettes
itm_mace_4_pl|Massues à ailettes
itm_club_with_spike_head|Godendac
itm_club_with_spike_head_pl|Godendacs
itm_long_spiked_club|Masse d'armes cloutée
itm_long_spiked_club_pl|Masses d'armes cloutées
itm_long_hafted_knobbed_mace|Masse d'armes à pointes
itm_long_hafted_knobbed_mace_pl|Masses d'armes à pointes
itm_long_hafted_spiked_mace|Masse d'armes barbelée
itm_long_hafted_spiked_mace_pl|Masses d'armes barbelées
itm_sarranid_two_handed_mace_1|Masse longue amùd
itm_sarranid_two_handed_mace_1_pl|Masses longues amùd
itm_sarranid_mace_1|Masse amùd
itm_sarranid_mace_1_pl|Masses amùd
itm_sarranid_axe_a|Hache amùd
itm_sarranid_axe_a_pl|Haches amùd
itm_sarranid_axe_b|Hache tabarzin
itm_sarranid_axe_b_pl|Haches tabarzin
itm_sarranid_two_handed_axe_a|Hache longue amùd
itm_sarranid_two_handed_axe_a_pl|Haches longues amùd
itm_sarranid_two_handed_axe_b|Hache longue tabarzin
itm_sarranid_two_handed_axe_b_pl|Haches longues tabarzin
itm_scythe|Faux
itm_scythe_pl|Faux
itm_pitch_fork|Fourche à foin
itm_pitch_fork_pl|Fourches à foin
itm_military_fork|Fourche
itm_military_fork_pl|Fourches
itm_battle_fork|Fourche de bataille
itm_battle_fork_pl|Fourches de bataille
itm_boar_spear|Épieu de chasse
itm_boar_spear_pl|Épieux de chasse
itm_jousting_lance|Lance de joute
itm_jousting_lance_pl|Lances de joute
itm_double_sided_lance|Lance double-pointe
itm_double_sided_lance_pl|Lances double-pointe
itm_glaive|Glaive
itm_glaive_pl|Glaives
itm_poleaxe|Hache d'armes
itm_poleaxe_pl|Haches d'armes
itm_polehammer|Plombée
itm_polehammer_pl|Plombées
itm_staff|Bâton
itm_staff_pl|Bâtons
itm_quarter_staff|Bâton de combat
itm_quarter_staff_pl|Bâtons de combat
itm_iron_staff|Bâton ferré
itm_iron_staff_pl|Bâtons ferrés
itm_shortened_spear|Picon
itm_shortened_spear_pl|Picons
itm_spear|Épieu
itm_spear_pl|Épieux
itm_bamboo_spear|Épieu de bambou
itm_bamboo_spear_pl|Épieux de bambou
itm_war_spear|Épieu de guerre
itm_war_spear_pl|Épieux de guerre
itm_military_scythe|Couteau de brèche
itm_military_scythe_pl|Couteaux de brèche
itm_light_lance|Lance légère
itm_light_lance_pl|Lances légères
itm_lance|Lance
itm_lance_pl|Lances
itm_heavy_lance|Lance lourde
itm_heavy_lance_pl|Lances lourdes
itm_great_lance|Lance de charge
itm_great_lance_pl|Lances de charge
itm_pike|Pique
itm_pike_pl|Piques
itm_ashwood_pike|Demi-pique
itm_ashwood_pike_pl|Demi-piques
itm_awlpike|Plançon
itm_awlpike_pl|Plançons
itm_awlpike_long|Plançon long
itm_awlpike_long_pl|Plançons longs
itm_bec_de_corbin_a|Marteau de Lucerne
itm_bec_de_corbin_a_pl|Marteaux de Lucerne
itm_wooden_shield|Bouclier en bois
itm_wooden_shield_pl|Boucliers en bois
itm_nordic_shield|Bouclier nordique
itm_nordic_shield_pl|Boucliers nordiques
itm_fur_covered_shield|Grand bouclier couvert de fourrure
itm_fur_covered_shield_pl|Grands boucliers couverts de fourrure
itm_steel_shield|Petit bouclier en acier
itm_steel_shield_pl|Petits boucliers en acier
itm_plate_covered_round_shield|Petit bouclier couvert de plates
itm_plate_covered_round_shield_pl|Petits boucliers couverts de plates
itm_leather_covered_round_shield|Petit bouclier couvert de cuir
itm_leather_covered_round_shield_pl|Petits boucliers couverts de cuir
itm_hide_covered_round_shield|Petit bouclier couvert de peau
itm_hide_covered_round_shield_pl|Petits boucliers couverts de peau
itm_shield_heater_c|Écu compact
itm_shield_heater_c_pl|Écus compacts
itm_norman_shield_1|Grand bouclier normand
itm_norman_shield_1_pl|Grands boucliers normands
itm_norman_shield_2|Grand bouclier normand
itm_norman_shield_2_pl|Grands boucliers normands
itm_norman_shield_3|Grand bouclier normand
itm_norman_shield_3_pl|Grands boucliers normands
itm_norman_shield_4|Grand bouclier normand
itm_norman_shield_4_pl|Grands boucliers normands
itm_norman_shield_5|Grand bouclier normand
itm_norman_shield_5_pl|Grands boucliers normands
itm_norman_shield_6|Grand bouclier normand
itm_norman_shield_6_pl|Grands boucliers normands
itm_norman_shield_7|Grand bouclier normand
itm_norman_shield_7_pl|Grands boucliers normands
itm_norman_shield_8|Grand bouclier normand
itm_norman_shield_8_pl|Grands boucliers normands
itm_tab_shield_round_a|Vieux bouclier plat
itm_tab_shield_round_a_pl|Vieux boucliers plats
itm_tab_shield_round_b|Bouclier plat
itm_tab_shield_round_b_pl|Boucliers plats
itm_tab_shield_round_c|Bouclier à cerceau de cuir
itm_tab_shield_round_c_pl|Boucliers à cerceaux de cuir 
itm_tab_shield_round_d|Bouclier à cerceau de fer
itm_tab_shield_round_d_pl|Boucliers à cerceaux de fer
itm_tab_shield_round_e|Bouclier lenticulaire
itm_tab_shield_round_e_pl|Boucliers lenticulaires
itm_tab_shield_kite_a|Vieux bouclier en amande plat
itm_tab_shield_kite_a_pl|Vieux boucliers en amande plats
itm_tab_shield_kite_b|Bouclier en amande plat
itm_tab_shield_kite_b_pl|Boucliers en amande plats
itm_tab_shield_kite_c|Bouclier en amande
itm_tab_shield_kite_c_pl|Boucliers en amande
itm_tab_shield_kite_d|Bouclier en amande massif
itm_tab_shield_kite_d_pl|Boucliers en amande massifs
itm_tab_shield_kite_cav_a|Bouclier en amande de cavalier 
itm_tab_shield_kite_cav_a_pl|Boucliers en amande de cavalier 
itm_tab_shield_kite_cav_b|Bouclier en amande de chevalier
itm_tab_shield_kite_cav_b_pl|Boucliers en amande de chevalier
itm_tab_shield_heater_a|Vieil écu
itm_tab_shield_heater_a_pl|Vieux écus
itm_tab_shield_heater_b|Écu rudimentaire
itm_tab_shield_heater_b_pl|Écus rudimentaires
itm_tab_shield_heater_c|Écu
itm_tab_shield_heater_c_pl|Écus
itm_tab_shield_heater_d|Écu massif
itm_tab_shield_heater_d_pl|Écus massifs
itm_tab_shield_heater_cav_a|Écu de cavalier
itm_tab_shield_heater_cav_a_pl|Écus de cavalier
itm_tab_shield_heater_cav_b|Écu de chevalier
itm_tab_shield_heater_cav_b_pl|Écus de chevalier
itm_tab_shield_pavise_a|Vieux pavois plat
itm_tab_shield_pavise_a_pl|Vieux pavois plats
itm_tab_shield_pavise_b|Pavois plat
itm_tab_shield_pavise_b_pl|Pavois plats
itm_tab_shield_pavise_c|Pavois
itm_tab_shield_pavise_c_pl|Pavois
itm_tab_shield_pavise_d|Pavois massif
itm_tab_shield_pavise_d_pl|Pavois massifs
itm_tab_shield_small_round_a|Petit bouclier d'écuyer
itm_tab_shield_small_round_a_pl|Petits boucliers d'écuyer
itm_tab_shield_small_round_b|Petit bouclier de cavalier
itm_tab_shield_small_round_b_pl|Petits boucliers de cavalier
itm_tab_shield_small_round_c|Petit bouclier de chevalier
itm_tab_shield_small_round_c_pl|Petits boucliers de chevalier
itm_darts|Dard
itm_darts_pl|Dards
itm_war_darts|Dard long
itm_war_darts_pl|Dards longs
itm_javelin|Javelot
itm_javelin_pl|Javelots
itm_javelin_melee|Javelot
itm_javelin_melee_pl|Javelots
itm_throwing_spears|Framée
itm_throwing_spears_pl|Framées
itm_throwing_spear_melee|Framée
itm_throwing_spear_melee_pl|Framées
itm_jarid|Angon
itm_jarid_pl|Angons
itm_jarid_melee|Angon
itm_jarid_melee_pl|Angons
itm_stones|Pierres
itm_stones_pl|Pierres
itm_throwing_knives|Couteaux de jet
itm_throwing_knives_pl|Couteaux de jet
itm_throwing_daggers|Dagues de jet
itm_throwing_daggers_pl|Dagues de jet
itm_light_throwing_axes|Francisque légère
itm_light_throwing_axes_pl|Francisques légères
itm_light_throwing_axes_melee|Francisque légère
itm_light_throwing_axes_melee_pl|Francisques légères
itm_throwing_axes|Francisque
itm_throwing_axes_pl|Francisques
itm_throwing_axes_melee|Francisque
itm_throwing_axes_melee_pl|Francisques
itm_heavy_throwing_axes|Francisque lourde
itm_heavy_throwing_axes_pl|Francisques lourdes
itm_heavy_throwing_axes_melee|Francisque lourde
itm_heavy_throwing_axes_melee_pl|Francisques lourdes
itm_hunting_bow|Arc de chasse
itm_hunting_bow_pl|Arcs de chasse
itm_short_bow|Arc court
itm_short_bow_pl|Arcs courts
itm_nomad_bow|Arc turquois
itm_nomad_bow_pl|Arcs turquois
itm_long_bow|Arc longbow
itm_long_bow_pl|Arcs longbow
itm_khergit_bow|Arc manzha-nomo
itm_khergit_bow_pl|Arcs manzha-nomo
itm_strong_bow|Arc composite
itm_strong_bow_pl|Arcs composites
itm_war_bow|Arc composite long
itm_war_bow_pl|Arcs composites longs
itm_hunting_crossbow|Cranequin
itm_hunting_crossbow_pl|Cranequins
itm_light_crossbow|Arbalète légère
itm_light_crossbow_pl|Arbalètes légères
itm_crossbow|Arbalète
itm_crossbow_pl|Arbalètes
itm_heavy_crossbow|Arbalète lourde
itm_heavy_crossbow_pl|Arbalètes lourdes
itm_sniper_crossbow|Arbalète de siège
itm_sniper_crossbow_pl|Arbalètes de siège
itm_flintlock_pistol|Fusil à silex
itm_flintlock_pistol_pl|Fusils à silex
itm_torch|Torche
itm_torch_pl|Torches
itm_lyre|Lyre
itm_lyre_pl|Lyres
itm_lute|Luth
itm_lute_pl|Luths
itm_strange_armor|Armure étrange
itm_strange_armor_pl|Armures étranges
itm_strange_boots|Bottes étranges
itm_strange_boots_pl|Bottes étranges
itm_strange_helmet|Casque étrange
itm_strange_helmet_pl|Casques étranges
itm_strange_sword|Épée étrange
itm_strange_sword_pl|Épées étranges
itm_strange_great_sword|Estramaçon étrange
itm_strange_great_sword_pl|Estramaçons étranges
itm_strange_short_sword|Estramaçon étrange
itm_strange_short_sword_pl|Estramaçons étranges
itm_court_dress|Robe courte
itm_court_dress_pl|Robes courtes
itm_rich_outfit|Tenue de bourgeois
itm_rich_outfit_pl|Tenues de bourgeois
itm_khergit_guard_armor|Armure lamellaire en laiton
itm_khergit_guard_armor_pl|Armure lamellaires en laiton
itm_felt_steppe_cap|Coiffe mandarin
itm_felt_steppe_cap_pl|Coiffes mandarin
itm_khergit_war_helmet|Casque yuan
itm_khergit_war_helmet_pl|Casques yuan
itm_khergit_helmet|Casque couman
itm_khergit_helmet_pl|Casques couman
itm_khergit_guard_boots|Bottes lamellaires gutal
itm_khergit_guard_boots_pl|Bottes lamellaires gutal
itm_khergit_guard_helmet|Casque lamellaire shishak
itm_khergit_guard_helmet_pl|Casques lamellaires shishak
itm_khergit_cavalry_helmet|Casque shishak 
itm_khergit_cavalry_helmet_pl|Casques shishak
itm_black_hood|Capuchon noir
itm_black_hood_pl|Capuchons noirs
itm_light_leather|Corselet de combat en cuir
itm_light_leather_pl|Corselets de combat en cuir
itm_light_leather_boots|Housseaux
itm_light_leather_boots_pl|Housseaux
itm_mail_and_plate|Armure de mailles et plates
itm_mail_and_plate_pl|Armures de mailles et plates
itm_light_mail_and_plate|Armure de mailles et plates légères
itm_light_mail_and_plate_pl|Armures de mailles et plates légères
itm_byzantion_helmet_a|Casque byzantin
itm_byzantion_helmet_a_pl|Casques byzantins
itm_magyar_helmet_a|Casque magyar
itm_magyar_helmet_a_pl|Casques magyars
itm_rus_helmet_a|Casque varègue
itm_rus_helmet_a_pl|Casques varègues
itm_sipahi_helmet_a|Casque de sipahi
itm_sipahi_helmet_a_pl|Casques de sipahi
itm_shahi|Shahi
itm_shahi_pl|Shahis
itm_rabati|Rabati
itm_rabati_pl|Rabatis
itm_tunic_with_green_cape|Tunique avec cape verte
itm_tunic_with_green_cape_pl|Tunique avec cape verte
itm_keys|Hachette
itm_keys_pl|Hachette
itm_bride_dress|Robe de mariée
itm_bride_dress_pl|Robes de mariée
itm_bride_crown|Couronne de fleurs
itm_bride_crown_pl|Couronnes de fleurs
itm_bride_shoes|Chaussures de mariée
itm_bride_shoes_pl|Chaussures de mariée
itm_practice_bow_2|Arc d'entraînement
itm_practice_bow_2_pl|Arcs d'entraînement
itm_practice_arrows_2|Flèche d'entraînement
itm_practice_arrows_2_pl|Flèches d'entraînement
itm_plate_boots|Bottes de plates
itm_plate_boots_pl|Bottes de plates
itm_mail_boots_for_tableau|Bottes de mailles
itm_mail_boots_for_tableau_pl|Bottes de mailles
itm_warhorse_sarranid|Pur-sang arabe bardé
itm_warhorse_sarranid_pl|Pur-sangs arabes bardés
itm_warhorse_steppe|Cheval des steppes carapaçonné
itm_warhorse_steppe_pl|Chevaux des steppes carapaçonnés
itm_dplmc_coat_of_plates_red_constable|Cotte de plates de connétable
itm_dplmc_coat_of_plates_red_constable_pl|Cotte de plates de connétable
itm_01nh|Chameau
itm_01nh_pl|Chameau
itm_02nh|Chameau Sarranide
itm_02nh_pl|Chameau Sarranide
itm_03nh|Baudet brun
itm_03nh_pl|Baudet brun
itm_04nh|Baudet gris
itm_04nh_pl|Baudet gris
itm_05nh|Mule
itm_05nh_pl|Mule
itm_06nh|Cheval de somme châtain
itm_06nh_pl|Cheval de somme châtain
itm_07nh|Cheval de somme marron
itm_07nh_pl|Cheval de somme marron
itm_08nh|Cheval blanc
itm_08nh_pl|Cheval blanc
itm_09nh|Cheval marron
itm_09nh_pl|Cheval marron
itm_10nh|Cheval châtain
itm_10nh_pl|Cheval châtain
itm_11nh|Cheval noir
itm_11nh_pl|Cheval noir
itm_12nh|Cheval brun foncé
itm_12nh_pl|Cheval brun foncé
itm_13nh|Cheval du désert châtain
itm_13nh_pl|Cheval du désert châtain
itm_14nh|Cheval du désert marron
itm_14nh_pl|Cheval du désert marron
itm_15nh|Cheval du désert brun foncé
itm_15nh_pl|Cheval du désert brun foncé
itm_16nh|Cheval du désert bai
itm_16nh_pl|Cheval du désert bai
itm_17nh|Cheval du désert marron
itm_17nh_pl|Cheval du désert marron
itm_18nh|Cheval du désert Appaloosa
itm_18nh_pl|Cheval du désert Appaloosa
itm_19nh|Cheval du désert moucheté
itm_19nh_pl|Cheval du désert moucheté
itm_20nh|Cheval du désert blanc
itm_20nh_pl|Cheval du désert blanc
itm_21nh|Poney des steppes
itm_21nh_pl|Poney des steppes
itm_22nh|Poney des steppes moucheté
itm_22nh_pl|Poney des steppes moucheté
itm_23nh|Poney des steppes moucheté
itm_23nh_pl|Poney des steppes moucheté
itm_24nh|Poney des steppes Appaloosa
itm_24nh_pl|Poney des steppes Appaloosa
itm_25nh|Poney des steppes
itm_25nh_pl|Poney des steppes
itm_26nh|Poney des steppes moucheté
itm_26nh_pl|Poney des steppes moucheté
itm_27nh|Poney des steppes bai Appaloosa
itm_27nh_pl|Poney des steppes bai Appaloosa
itm_28nh|Poney des steppes
itm_28nh_pl|Poney des steppes
itm_29nh|Poney des steppes moucheté
itm_29nh_pl|Poney des steppes moucheté
itm_30nh|Poney des steppes Appaloosa
itm_30nh_pl|Poney des steppes Appaloosa
itm_01wh|Cheval de guerre
itm_01wh_pl|Cheval de guerre
itm_02wh|Cheval de guerre
itm_02wh_pl|Cheval de guerre
itm_03wh|Cheval de guerre
itm_03wh_pl|Cheval de guerre
itm_04wh|Cheval de guerre
itm_04wh_pl|Cheval de guerre
itm_05wh|Cheval de guerre royal
itm_05wh_pl|Cheval de guerre royal
itm_06wh|Cheval de guerre
itm_06wh_pl|Cheval de guerre
itm_07wh|Cheval de guerre rayé
itm_07wh_pl|Cheval de guerre rayé
itm_08wh|Cheval de guerre
itm_08wh_pl|Cheval de guerre
itm_09wh|Cheval de guerre des templiers
itm_09wh_pl|Cheval de guerre des templiers
itm_10wh|Cheval de guerre calradian sacré
itm_10wh_pl|Cheval de guerre calradian sacré
itm_11wh|Cheval de guerre royal
itm_11wh_pl|Cheval de guerre royal
itm_12wh|Cheval de guerre
itm_12wh_pl|Cheval de guerre
itm_13wh|Cheval de guerre royal
itm_13wh_pl|Cheval de guerre royal
itm_14wh|Cheval de guerre
itm_14wh_pl|Cheval de guerre
itm_15wh|Cheval de guerre
itm_15wh_pl|Cheval de guerre
itm_16wh|Cheval de guerre
itm_16wh_pl|Cheval de guerre
itm_17wh|Cheval de guerre
itm_17wh_pl|Cheval de guerre
itm_18wh|Cheval de guerre
itm_18wh_pl|Cheval de guerre
itm_19wh|Cheval de guerre royal
itm_19wh_pl|Cheval de guerre royal
itm_20wh|Cheval de guerre des forêts
itm_20wh_pl|Cheval de guerre des forêts
itm_21wh|Cheval de guerre des prairies
itm_21wh_pl|Cheval de guerre des prairies
